textID	ID(seq)		word	lemma	PoS
-----	-----		-----	-----	-----

124	2511368388	@@124		
124	2511368389	Gran	gran	o
124	2511368390	convocatoria	convocatoria	nfs    
124	2511368391	para	para	e
124	2511368392	el	el	ld-ms
124	2511368393	concurso	concurso	nms    
124	2511368394	docente	docente	jms    
124	2511368395	que	que	cs
124	2511368396	se	se	po
124	2511368397	realiza	realizar	vip-3s
124	2511368398	en	en	e
124	2511368399	la	la	ld-fs
124	2511368400	Escuela	escuela	o
124	2511368401	Normal	normal	o
124	2511368402	Con	con	e
124	2511368403	una	un	li-fs
124	2511368404	inmensa	inmenso	jfs    
124	2511368405	convocatoria	convocatoria	nfs    
124	2511368406	de	de	e
124	2511368407	docentes	docente	nmp    
124	2511368408	,	$,	y
124	2511368409	convocada	convocar	vps-fs
124	2511368410	desde	desde	e
124	2511368411	la	la	ld-fs
124	2511368412	7.30	7.30	m$
124	2511368413	de	de	e
124	2511368414	este	este	dd-
124	2511368415	lunes	lunes	nmp    
124	2511368416	en	en	e
124	2511368417	el	el	ld-ms
124	2511368418	salón	salón	nms    
124	2511368419	de	de	e
124	2511368420	actos	acto	nmp    
124	2511368421	de	de	e
124	2511368422	la	la	ld-fs
124	2511368423	Escuela	escuela	o
124	2511368424	Normal	normal	o
124	2511368425	Mariano	mariano	o
124	2511368426	Moreno	moreno	o
124	2511368427	,	$,	y
124	2511368428	se	se	po
124	2511368429	realizó	realizar	vis-3s
124	2511368430	la	la	ld-fs
124	2511368431	primera	primero	mc
124	2511368432	jornada	jornada	nfs    
124	2511368433	de	de	e
124	2511368434	el	el	ld-ms
124	2511368435	concurso	concurso	nms    
124	2511368436	para	para	e
124	2511368437	titularización	titularización	nfs    
124	2511368438	de	de	e
124	2511368439	los	el	ld-mp
124	2511368440	cargos	cargos	nmp    
124	2511368441	.	$.	y
124	2511368442	El	el	ld-ms
124	2511368443	día	día	nms    
124	2511368444	comenzó	comenzar	vis-3s
124	2511368445	con	con	e
124	2511368446	las	la	ld-fp
124	2511368447	palabras	palabra	nfp    
124	2511368448	de	de	e
124	2511368449	bienvenidas	bienvenida	nfp    
124	2511368450	de	de	e
124	2511368451	las	la	ld-fp
124	2511368452	autoridades	autoridad	nfp    
124	2511368453	,	$,	y
124	2511368454	quienes	quien	pr-3cp
124	2511368455	hablaron	hablar	vis-3p
124	2511368456	de	de	e
124	2511368457	cientos	ciento	mc
124	2511368458	de	de	e
124	2511368459	docentes	docente	nmp    
124	2511368460	que	que	cs
124	2511368461	presentaron	presentar	vis-3p
124	2511368462	sus	su	dp-
124	2511368463	documentos	documento	nmp    
124	2511368464	que	que	cs
124	2511368465	deben	deber	vip-3p
124	2511368466	ser	ser	vr
124	2511368467	analizados	analizar	vps-mp
124	2511368468	por	por	e
124	2511368469	las	la	ld-fp
124	2511368470	autoridades	autoridad	nfp    
124	2511368471	.	$.	y
124	2511368472	Los	el	ld-mp
124	2511368473	cargos	cargos	nmp    
124	2511368474	fueron	ser	vis-3p
124	2511368475	138	138	m$
124	2511368476	,	$,	y
124	2511368477	pero	pero	cc
124	2511368478	esa	ese	dd-
124	2511368479	suma	suma	nfs    
124	2511368480	se	se	po
124	2511368481	incrementó	incrementar	vis-3s
124	2511368482	debido	debido	cS_31
124	2511368483	a	a	cS_32
124	2511368484	que	que	cS_33
124	2511368485	muchos	mucho	dxmp-ind-
124	2511368486	realizaron	realizar	vis-3p
124	2511368487	cambio	cambio	nms    
124	2511368488	de	de	e
124	2511368489	escuelas	escuela	nfp    
124	2511368490	,	$,	y
124	2511368491	abriendo	abrir	vpp
124	2511368492	otras	otro	dxfp-ind-
124	2511368493	oportunidades	oportunidad	nfp    
124	2511368494	.	$.	y
124	2511368495	Las	la	ld-fp
124	2511368496	jornadas	jornada	nfp    
124	2511368497	continuaran	continuar	vsi-3p
124	2511368498	este	este	dd-
124	2511368499	martes	martes	nmp    
124	2511368500	debido	debido	jms    
124	2511368501	,	$,	y
124	2511368502	precisamente	precisamente	r
124	2511368503	,	$,	y
124	2511368504	a	a	e
124	2511368505	el	el	ld-ms
124	2511368506	enorme	enorme	jms    
124	2511368507	número	número	nms    
124	2511368508	de	de	e
124	2511368509	docentes	docente	nmp    
124	2511368510	presentes	presente	jmp    
124	2511368511	.	$.	y
124	2511368512	Estuvieron	estar	vis-3p
124	2511368513	,	$,	y
124	2511368514	la	la	ld-fs
124	2511368515	presidenta	presidenta	n
124	2511368516	de	de	e
124	2511368517	el	el	ld-ms
124	2511368518	CGE	cge	o
124	2511368519	,	$,	y
124	2511368520	Graciela	graciela	o
124	2511368521	Bar	bar	o
124	2511368522	,	$,	y
124	2511368523	el	el	ld-ms
124	2511368524	profesor	profesor	nms    
124	2511368525	Héctor	héctor	o
124	2511368526	de	de	e
124	2511368527	la	la	ld-fs
124	2511368528	Fuente	fuente	nfs    
124	2511368529	,	$,	y
124	2511368530	vocal	vocal	jms    
124	2511368531	de	de	e
124	2511368532	presidencia	presidencia	nfs    
124	2511368533	,	$,	y
124	2511368534	el	el	ld-ms
124	2511368535	secretario	secretario	nms    
124	2511368536	general	general	jms    
124	2511368537	de	de	e
124	2511368538	Agmer	agmer	o
124	2511368539	Fabián	fabián	o
124	2511368540	Peccín	peccín	o
124	2511368541	y	y	cc
124	2511368542	la	la	ld-fs
124	2511368543	directora	directora	n
